Area	County	Cancer Type	Year	Sex	Age-Adjusted Rate	Case Count	Population	County Name
Ohio	Carroll County	Colon and Rectum	2014-2018	Male and Female	30.2	63	137874	Carroll
Ohio	Noble County	Colon and Rectum	2014-2018	Male and Female	30.3	41	72187	Noble
Ohio	Warren County	Colon and Rectum	2014-2018	Male and Female	33.7	423	1132324	Warren
Ohio	Fairfield County	Colon and Rectum	2014-2018	Male and Female	35.2	310	765071	Fairfield
Ohio	Greene County	Colon and Rectum	2014-2018	Male and Female	35.5	355	828247	Greene
Ohio	Stark County	Colon and Rectum	2014-2018	Male and Female	35.6	901	1866959	Stark
Ohio	Delaware County	Colon and Rectum	2014-2018	Male and Female	35.6	364	985936	Delaware
Ohio	Gallia County	Colon and Rectum	2014-2018	Male and Female	36.3	72	151005	Gallia
Ohio	Morrow County	Colon and Rectum	2014-2018	Male and Female	36.5	83	174826	Morrow
Ohio	Summit County	Colon and Rectum	2014-2018	Male and Female	37.2	1309	2708103	Summit
Ohio	Franklin County	Colon and Rectum	2014-2018	Male and Female	37.3	2282	6373406	Franklin
Ohio	Union County	Colon and Rectum	2014-2018	Male and Female	37.7	104	278322	Union
Ohio	Wayne County	Colon and Rectum	2014-2018	Male and Female	38	276	580697	Wayne
Ohio	Auglaize County	Colon and Rectum	2014-2018	Male and Female	38.5	120	228726	Auglaize
Ohio	Harrison County	Colon and Rectum	2014-2018	Male and Female	38.5	43	76535	Harrison
Ohio	Geauga County	Colon and Rectum	2014-2018	Male and Female	38.5	250	469544	Geauga
Ohio	Hancock County	Colon and Rectum	2014-2018	Male and Female	38.6	183	378683	Hancock
Ohio	Monroe County	Colon and Rectum	2014-2018	Male and Female	38.6	43	70411	Monroe
Ohio	Montgomery County	Colon and Rectum	2014-2018	Male and Female	38.6	1300	2659150	Montgomery
Ohio	Medina County	Colon and Rectum	2014-2018	Male and Female	38.8	439	886011	Medina
Ohio	Lorain County	Colon and Rectum	2014-2018	Male and Female	39.1	778	1532981	Lorain
Ohio	Muskingum County	Colon and Rectum	2014-2018	Male and Female	39.1	211	430346	Muskingum
Ohio	Clinton County	Colon and Rectum	2014-2018	Male and Female	39.2	101	209620	Clinton
Ohio	Putnam County	Colon and Rectum	2014-2018	Male and Female	39.2	85	169893	Putnam
Ohio	Scioto County	Colon and Rectum	2014-2018	Male and Female	39.6	195	382360	Scioto
Ohio	Licking County	Colon and Rectum	2014-2018	Male and Female	39.9	406	861297	Licking
Ohio	Hamilton County	Colon and Rectum	2014-2018	Male and Female	40.1	1878	4058091	Hamilton
Ohio	Butler County	Colon and Rectum	2014-2018	Male and Female	40.5	846	1890709	Butler
Ohio	Miami County	Colon and Rectum	2014-2018	Male and Female	40.5	273	523726	Miami
Ohio	Shelby County	Colon and Rectum	2014-2018	Male and Female	40.5	122	244150	Shelby
Ohio	Crawford County	Colon and Rectum	2014-2018	Male and Female	40.5	119	210020	Crawford
Ohio	Lake County	Colon and Rectum	2014-2018	Male and Female	40.6	636	1149479	Lake
Ohio	Preble County	Colon and Rectum	2014-2018	Male and Female	41.3	116	206076	Preble
