Area,County,Cancer,Year,Sex,Age_Adjusted_Rate,Death_Count,Population
Ohio,Morgan,Colorectal,2014-2018,MaleFemale,NA,NA,NA
Ohio,Vinton,Colorectal,2014-2018,MaleFemale,NA,NA,NA
Ohio,Monroe,Colorectal,2014-2018,MaleFemale,NA,NA,NA
Ohio,Geauga,Colorectal,2014-2018,MaleFemale,9.9,68,469544
Ohio,Union,Colorectal,2014-2018,MaleFemale,9.9,27,278322
Ohio,Warren,Colorectal,2014-2018,MaleFemale,10.7,132,1132324
Ohio,Medina,Colorectal,2014-2018,MaleFemale,11.5,132,886011
Ohio,Delaware,Colorectal,2014-2018,MaleFemale,12.4,124,985936
Ohio,Madison,Colorectal,2014-2018,MaleFemale,12.6,31,219926
Ohio,Noble,Colorectal,2014-2018,MaleFemale,12.7,17,72187
Ohio,Wayne,Colorectal,2014-2018,MaleFemale,12.8,96,580697
Ohio,Clermont,Colorectal,2014-2018,MaleFemale,13,160,1016400
Ohio,Greene,Colorectal,2014-2018,MaleFemale,13.1,138,828247
Ohio,Putnam,Colorectal,2014-2018,MaleFemale,13.4,29,169893
Ohio,Butler,Colorectal,2014-2018,MaleFemale,13.5,283,1890709
Ohio,Franklin,Colorectal,2014-2018,MaleFemale,13.6,810,6373406
Ohio,Fairfield,Colorectal,2014-2018,MaleFemale,13.6,119,765071
Ohio,Sandusky,Colorectal,2014-2018,MaleFemale,13.8,57,296452
Ohio,Ottawa,Colorectal,2014-2018,MaleFemale,13.9,50,203537
Ohio,Stark,Colorectal,2014-2018,MaleFemale,13.9,360,1866959
Ohio,Miami,Colorectal,2014-2018,MaleFemale,14,97,523726
Ohio,Montgomery,Colorectal,2014-2018,MaleFemale,14.1,498,2659150
Ohio,Perry,Colorectal,2014-2018,MaleFemale,14.1,30,179902
Ohio,Muskingum,Colorectal,2014-2018,MaleFemale,14.1,79,430346
Ohio,Tuscarawas,Colorectal,2014-2018,MaleFemale,14.4,94,462338
Ohio,Licking,Colorectal,2014-2018,MaleFemale,14.5,147,861297
Ohio,Trumbull,Colorectal,2014-2018,MaleFemale,14.5,221,1008836
Ohio,Summit,Colorectal,2014-2018,MaleFemale,14.6,533,2708103
Ohio,Henry,Colorectal,2014-2018,MaleFemale,14.7,28,136630
Ohio,Cuyahoga,Colorectal,2014-2018,MaleFemale,14.7,1258,6265383
Ohio,Morrow,Colorectal,2014-2018,MaleFemale,14.7,34,174826
Ohio,Lorain,Colorectal,2014-2018,MaleFemale,14.7,294,1532981
Ohio,Auglaize,Colorectal,2014-2018,MaleFemale,14.8,48,228726
Ohio,Richland,Colorectal,2014-2018,MaleFemale,14.8,125,606346
Ohio,Lake,Colorectal,2014-2018,MaleFemale,15,240,1149479
Ohio,Clark,Colorectal,2014-2018,MaleFemale,15.3,142,675857
Ohio,Hamilton,Colorectal,2014-2018,MaleFemale,15.4,726,4058091
Ohio,Harrison,Colorectal,2014-2018,MaleFemale,15.5,19,76535
Ohio,Knox,Colorectal,2014-2018,MaleFemale,15.6,59,306081
Ohio,Defiance,Colorectal,2014-2018,MaleFemale,15.8,38,191236
Ohio,Columbiana,Colorectal,2014-2018,MaleFemale,15.8,119,519687
Ohio,Preble,Colorectal,2014-2018,MaleFemale,15.8,42,206076
Ohio,Pickaway,Colorectal,2014-2018,MaleFemale,15.8,53,287055
Ohio,Allen,Colorectal,2014-2018,MaleFemale,16.1,104,518374
Ohio,Mercer,Colorectal,2014-2018,MaleFemale,16.1,44,203978
Ohio,Belmont,Colorectal,2014-2018,MaleFemale,16.2,88,342481
Ohio,Gallia,Colorectal,2014-2018,MaleFemale,16.4,33,151005
Ohio,Hocking,Colorectal,2014-2018,MaleFemale,16.4,31,142429
Ohio,Highland,Colorectal,2014-2018,MaleFemale,16.4,45,215014
Ohio,Holmes,Colorectal,2014-2018,MaleFemale,16.4,36,219331
Ohio,Mahoning,Colorectal,2014-2018,MaleFemale,16.4,287,1154513
