County	Male	Female	Total	Difference
Adams	64.5	52.0	57.3	12.5
Allen	50.9	41.4	45.5	9.5
Ashland	58.3	43.6	50.6	14.7
Ashtabula	47.8	36.6	41.8	11.2
Athens	43.2	42.8	43.4	0.4
Auglaize	47.8	31.0	38.5	16.8
Belmont	46.3	41.7	44.8	4.6
Brown	60.1	38.6	49.0	21.5
Butler	46.7	35.1	40.5	11.6
Carroll	37.0	24.3	30.2	12.7
Champaign	60.4	37.9	47.7	22.5
Clark	48.3	38.6	43.4	9.7
Clermont	45.7	39.0	42.2	6.7
Clinton	44.2	35.5	39.2	8.7
Columbiana	58.5	41.2	49.1	17.3
Coshocton	51.2	40.9	45.2	10.3
Crawford	48.3	33.6	40.5	14.7
Cuyahoga	51.4	38.2	44.2	13.2
Darke	55.3	35.9	44.6	19.4
Defiance	59.7	56.0	57.9	3.7
Delaware	39.3	32.5	35.6	6.8
Erie	48.3	44.1	46.2	4.2
Fairfield	41.3	29.9	35.2	11.4
Fayette	58.0	50.7	51.7	7.3
Franklin	42.0	33.6	37.3	8.4
Fulton	58.3	35.2	46.1	23.1
Gallia	31.5	40.2	36.3	-8.7
Geauga	39.8	38.1	38.5	1.7
Greene	41.9	29.9	35.5	12
Guernsey	60.4	47.3	53.4	13.1
Hamilton	45.0	36.4	40.1	8.6
Hancock	44.1	33.4	38.6	10.7
Hardin	74.5	39.4	55.9	35.1
Harrison	45.1	32.6	38.5	12.5
Henry	55.2	40.2	47.7	15
Highland	54.5	39.8	47.3	14.7
Hocking	52.1	45.1	48.8	7
Holmes	50.1	37.7	42.7	12.4
Huron	54.4	39.4	46.6	15
Jackson	49.5	42.0	45.7	7.5
Jefferson	50.2	37.2	42.8	13
Knox	44.0	44.5	44.6	-0.5
Lake	48.9	34.0	40.6	14.9
Lawrence	58.0	41.4	49.3	16.6
Licking	46.4	34.7	39.9	11.7
Logan	52.3	37.8	44.6	14.5
Lorain	46.8	32.6	39.1	14.2
Lucas	51.5	36.1	42.8	15.4
Madison	52.0	42.5	47.0	9.5
Mahoning	44.6	40.1	41.9	4.5
Marion	58.0	50.1	53.3	7.9
Medina	44.9	33.8	38.8	11.1
Meigs	60.7	43.5	52.0	17.2
Mercer	55.5	38.6	46.1	16.9
Miami	45.4	35.9	40.5	9.5
Monroe	44.8	33.0	38.6	11.8
Montgomery	42.0	35.8	38.6	6.2
Morgan	64.2	26.9	44.1	37.3
Morrow	36.0	36.9	36.5	-0.9
Muskingum	47.4	32.0	39.1	15.4
Noble	27.5	30.2	30.3	-2.7
Ottawa	49.7	50.1	49.7	-0.4
Paulding	52.4	35.5	43.9	16.9
Perry	44.8	40.5	41.4	4.3
Pickaway	45.2	46.9	45.8	-1.7
Pike	47.8	48.3	47.4	-0.5
Portage	45.6	41.7	43.6	3.9
Preble	54.0	30.5	41.3	23.5
Putnam	50.1	28.9	39.2	21.2
Richland	50.4	42.2	45.5	8.2
Ross	46.7	36.9	41.8	9.8
Sandusky	65.1	36.2	50.0	28.9
Scioto	49.1	31.9	39.6	17.2
Seneca	55.9	34.4	44.7	21.5
Shelby	47.2	34.9	40.5	12.3
Stark	42.9	29.8	35.6	13.1
Summit	42.1	33.3	37.2	8.8
Trumbull	47.8	38.5	42.5	9.3
Tuscarawas	43.1	40.2	41.9	2.9
Union	39.0	36.9	37.7	2.1
Van-Wert	59.2	47.1	52.3	12.1
Vinton	54.0	45.4	51.2	8.6
Warren	35.3	32.3	33.7	3
Washington	57.8	45.0	51.1	12.8
Wayne	39.8	36.2	38.0	3.6
Williams	56.3	32.1	43.6	24.2
Wood	51.3	38.1	44.3	13.2
Wyandot	35.7	59.3	48.9	-23.6
Total	46.9	36.6	41.3	10.3
