	id	County
1	ADA	Adams
2	ALL	Allen
3	ASD	Ashland
4	ATB	Ashtabula
5	ATH	Athens
6	AUG	Auglaize
7	BEL	Belmont
8	BRO	Brown
9	BUT	Butler
10	CAR	Carroll
11	CHP	Champaign
12	CLA	Clark
13	CLE	Clermont
14	CLI	Clinton
15	COL	Columbiana
16	COS	Coshocton
17	CRA	Crawford
18	CUY	Cuyahoga
19	DAR	Darke
20	DEF	Defiance
21	DEL	Delaware
22	ERI	Erie
23	FAI	Fairfield
24	FAY	Fayette
25	FRA	Franklin
26	FUL	Fulton
27	GAL	Gallia
28	GEA	Geauga
29	GRE	Greene
30	GUE	Guernsey
31	HAM	Hamilton
32	HAN	Hancock
33	HAR	Hardin
34	HAS	Harrison
35	HEN	Henry
36	HIG	Highland
37	HOC	Hocking
38	HOL	Holmes
39	HUR	Huron
40	JAC	Jackson
41	JEF	Jefferson
42	KNO	Knox
43	LAK	Lake
44	LAW	Lawrence
45	LIC	Licking
46	LOG	Logan
47	LOR	Lorain
48	LUC	Lucas
49	MAD	Madison
50	MAH	Mahoning
51	MAR	Marion
52	MED	Medina
53	MEG	Meigs
54	MER	Mercer
55	MIA	Miami
56	MOE	Monroe
57	MOT	Montgomery
58	MRG	Morgan
59	MRW	Morrow
60	MUS	Muskingum
61	NOB	Noble
62	OTT	Ottawa
63	PAU	Paulding
64	PER	Perry
65	PIC	Pickaway
66	PIK	Pike
67	POR	Portage
68	PRE	Preble
69	PUT	Putnam
70	RIC	Richland
71	ROS	Ross
72	SAN	Sandusky
73	SCI	Scioto
74	SEN	Seneca
75	SHE	Shelby
76	STA	Stark
77	SUM	Summit
78	TRU	Trumbull
79	TUS	Tuscarawas
80	UNI	Union
81	VAN	Van-Wert
82	VIN	Vinton
83	WAR	Warren
84	WAS	Washington
85	WAY	Wayne
86	WIL	Williams
87	WOO	Wood
88	WYA	Wyandot
